Sample name,Language name,Script name,Dialect (For Audio),Source,Sample size,Sample type,Download link
Assamese-Audio-010,Assamese,Teaching English in Assamese medium School,Formal,"Dr. Arupjyoti Choudhury, Dean (Academic), I/C Multimedia (KKHSOU)",470 kb,Audio,https://drive.google.com/open?id=180BWjbFnCk2dEQQfedPy-wYGiQJ1wKo-
Bengali-Audio-001,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,471 kb,Audio,https://drive.google.com/open?id=1V68Xh_VdQEIaqNCOelCGYWA3GFz6Mhbd
Bengali-Audio-002,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,471 kb,Audio,https://drive.google.com/open?id=1bLXWREH0WEonViUgLb3W1ukxdssypNJf
Bengali-Audio-003,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,471 kb,Audio,https://drive.google.com/open?id=1mLR4ggET8dPOavsI8l-9SGDZ-xQxZ7zZ
Bengali-Audio-004,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,470 kb,Audio,https://drive.google.com/open?id=1RFI0nLgT0aQ7Z4aCCMala26uJlPrzUd7
Bengali-Audio-005,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,471 kb,Audio,https://drive.google.com/open?id=1rX4yIrKtlo9OMMN9vDxC8IZMmA8EzjWA
Bengali-Audio-006,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1XU9UPzZ0pkJRQBDwko8ho9bnOYmL99fU
Bengali-Audio-007,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1k5fzHgzI8gqB_n9gGe7LkW2kdf1OmMoC
Bengali-Audio-008,Bengali,General News,Formal,DD Bengali,471 kb,Audio,https://drive.google.com/open?id=1x781ZiEsT319Mxvzk_cNm9Jrlfn8rSad
Bengali-Audio-009,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1HzAHTMNxTG5csvKvpPZD03RK-QoLZFZu
Bengali-Audio-010,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=10FzgvEkgCgRk87Uafu3d36Bo7fSxkDay
Gujarati-Audio-001,Gujarati,News,Formal,DD Gujarati,565 kb,Audio,https://drive.google.com/open?id=104ASgDPyOgnIue_tUfJ60bMFWCDHRx2E
Gujarati-Audio-002,Gujarati,News,Formal,DD Gujarati,700 kb,Audio,https://drive.google.com/open?id=10Od1hyZ4DKUVXjYuQ6Uwsm-TKA3i-Z9K
Gujarati-Audio-003,Gujarati,News,Formal,DD Gujarati,511 kb,Audio,https://drive.google.com/open?id=138McK2gVAEphQRmMVizMa237Y_-AEtlU
Gujarati-Audio-004,Gujarati,News,Formal,DD Gujarati,679 kb,Audio,https://drive.google.com/open?id=14P0F3xfsAi0a6ZLMzxCrtHV-dZmVxgFo
Gujarati-Audio-005,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1qamkJJP4PQWrZh-_FkyKl22507oopIL9
Gujarati-Audio-006,Gujarati,News,Formal,Tv9 Gujarati,471 kb,Audio,https://drive.google.com/open?id=1cwpnNScEHbX5WyYlLn9T1veF-aYQed5c
Gujarati-Audio-007,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=14Vu5fOOlgVfZztqRnC6rF5_Wh3MFa3Sf
Gujarati-Audio-008,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1ZluoyU4VSTJbJzIu7nl6O_1yNMpDo0xu
Gujarati-Audio-009,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1hbPQWcKikWr1zciWflI6Ktsxdy8QIi5_
Gujarati-Audio-010,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1tR2bDWj7hRtDRE0II4ae5PtINRm_E3AO
Gujarati-Image-006,Gujarati,News,,https://www.divyabhaskar.co.in/news/MGUJ-PAN-OMC-LCL-yakub-important-role-in-stoned-on-the-train-after-chain-pulling-gujarati-news-5803089-NOR.html,174 kb,Image,https://drive.google.com/open?id=1OPsoCrytOwmjW6aP2vKg2HoBNz6BHPjd
Gujarati-Image-007,Gujarati,News,,https://www.divyabhaskar.co.in/,145 kb,Image,https://drive.google.com/open?id=1IOAu9E2z1lOAXFBxl9zoBML4q2_mdcFH
Gujarati-Image-008,Gujarati,News,,https://bollywood.divyabhaskar.co.in/news/ENT-GOS-IFTM-sonam-kapoor-says-akshay-kumar-has-fear-of-this-gujarati-news-5793666-PHO.html,206 kb,Image,https://drive.google.com/open?id=1ihO4h0Fzmig5ZqnUnea0cNoU2atgsb0D
Gujarati-Image-009,Gujarati,News,,https://www.divyabhaskar.co.in/,232 kb,Image,https://drive.google.com/open?id=15Th3Lcwt0fMnzW-VkVreT1CaAH8l2F4N
Gujarati-Image-010,Gujarati,News,,http://sandesh.com/rajasthan-west-bengal-election-bypoll/,209 kb,Image,https://drive.google.com/open?id=1siGGo5POqTy0zlTgHMCaj7HGJQYqBdIZ
Hindi-Image-006,Hindi,General,,Wikipedia,211 kb,Image,https://drive.google.com/open?id=1UIww4QvB0z6Spdvc4eNQy1scir0gDI2Q
Hindi-Image-007,Hindi,General,,Wikipedia,177 kb,Image,https://drive.google.com/open?id=1j9XsxndhOjfHULBfuXsFI1rTT2nPdu_S
Hindi-Image-008,Hindi,General,,Wikipedia,316 kb,Image,https://drive.google.com/open?id=1KYHR14kbh1VNScmY355lYym9OHJSQh9g
Hindi-Image-009,Hindi,General,,Wikipedia,275 kb,Image,https://drive.google.com/open?id=1VOiy2q9KIv768CiuHIBiUlNxIzUP3w6M
Hindi-Image-010,Hindi,General,,Wikipedia,318 kb,Image,https://drive.google.com/open?id=1JAzj1xYhxRWQIw7RmkQXr592T5WPIYsg
Kannada-Image-006,Kannada,News,,https://vijaykarnataka.indiatimes.com/news/india/congress-sweeps-rajasthan-big-win-for-tmc-in-west-bengal/articleshow/62743572.cms,210 kb,Image,https://drive.google.com/open?id=1e--z0eQaMsP6KgPdpwZf9RH57WMrr0Yg
Kannada-Image-007,Kannada,News,,https://vijaykarnataka.indiatimes.com/pollslist/11181707.cms,119 kb,Image,https://drive.google.com/open?id=1jVWTceNPaIglxwr1KDySONoSZlQ4S364
